NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_INCOME_TYPE,NAME_FAMILY_STATUS,DAYS_BIRTH,Label
Cash loans,F,Y,0,112500.0,533668.5,37273.5,Working,Married,-15451,Valid
Cash loans,F,Y,0,157500.0,245619.0,12667.5,Working,Single / not married,-17538,Valid
Cash loans,M,Y,0,382500.0,1345500.0,71685.0,Commercial associate,Married,-18222,Valid
Cash loans,F,N,0,90000.0,315000.0,15318.0,Working,Married,-11536,Valid
Cash loans,F,Y,0,112500.0,227520.0,15331.5,Working,Married,-10142,Valid
Cash loans,F,Y,0,157500.0,1104997.5,36648.0,Pensioner,Married,-21874,Valid
Cash loans,F,N,0,90000.0,193392.0,7420.5,Pensioner,Married,-23582,Valid
Cash loans,F,Y,0,157500.0,469152.0,31734.0,Commercial associate,Married,-16867,Valid
Cash loans,M,Y,1,351000.0,314100.0,16164.0,Working,Married,-11904,Valid
abcd,M,Y,0,157500.0,135000.0,6750.0,Commercial associate,Single / not married,-15108,Invalid
Revolving loans,F,Y,0,90000.0,247500.0,12375.0,Pensioner,Single / not married,-5681,Invalid
Cash loans,F,Y,1,67500.0,67500.0,5332.5,Pensioner,Married,-5336,Invalid
Cash loans,F,Y,2,157500.0,640080.0,31261.5,Commercial associate,Married,-12513,Valid
Cash loans,F,Y,0,130500.0,5276209.0,46557.0,Pensioner,Married,-21798,Invalid
Cash loans,M,Y,0,90000.0,239850.0,23494.5,Pensioner,Married,-24700,Valid
Cash loans,M,N,0,225000.0,315000.0,22401.0,Working,Single / not married,-14509,Valid
Revolving loans,M,N,0,207000.0,180000.0,9000.0,Working,Married,-10377,Valid
Cash loans,M,Y,2,292500.0,497520.0,33246.0,Maternity leave,Married,-13281,Invalid
Cash loans,M,Y,0,112500.0,23429.0,23895.0,Commercial associate,Single / not married,-8326,Invalid
Cash loans,F,N,0,135000.0,1096020.0,52857.0,Working,Married,-10302,Valid
Revolving loans,F,N,0,63000.0,202500.0,10125.0,Working,Separated,-14879,Valid
Cash loans,F,N,1,139500.0,454500.0,27805.5,Working,Married,-9810,Valid
Cash loans,M,Y,0,261000.0,1125000.0,37309.5,Pensioner,Married,-5439,Invalid
Cash loans,F,Y,0,144000.0,432567.0,22779.0,Working,Married,-12066,Valid
Cash loans,F,N,1,126000.0,254700.0,20250.0,Working,Civil marriage,-9554,Valid
Revolving loans,F,Y,1,126000.0,247500.0,12375.0,Working,Married,-15236,Valid
Cash loans,F,Y,0,49500.0,168147.0,12087.0,Pensioner,Married,-5563,Invalid
Cash loans,F,Y,1,360000.0,1724220.0,47542.5,Commercial associate,Married,-17601,Valid
