AnonRef,Gender, Standard TV , Increase offered , Total Enhanced TV Offer ,Enhancement %, Age at offer ,NUTS3, TP Liability , Buyout Liability , Accounting Liability , Retirement Quote ,Month of Offer,B.6g Gross Disposable Income,Acceptances Received
ANON1,F,264950,26495,291445,10,43,UKH15,439304,615181,314447,11003,February ,15890.23828,N
ANON2,F,19383,1938,21321,10,49.25,UKM34,30237,39640,22559,769,February ,14593.86719,N
ANON3,F,28528,8558,37086,30,56.42,UKM38,39357,45220,31929,920,February ,16095.20703,N
ANON4,M,26464,2646,29110,10,35.92,UKM38,46627,69739,32027,1150,February ,16095.20703,N
ANON5,F,43068,12920,55988,30,52.25,UKM38,63192,77551,49154,1542,February ,16095.20703,N
ANON6,F,61655,17645,79300,29,51.58,UKH15,90463,111020,70368,2207,February ,15890.23828,N
ANON7,M,28157,2816,30973,10,40.25,UKH15,46686,65377,33417,1169,February ,15890.23828,N
ANON8,M,26536,2654,29190,10,43.83,UKM33,43998,61613,31493,1102,February ,14867.0625,N
ANON9,F,79977,23993,103970,30,54.17,UKM38,117346,144012,91279,2863,February ,16095.20703,N
ANON10,M,26367,6633,33000,25,49.25,UKM24,41132,53922,30687,1047,February ,17445.37891,N
ANON11,M,22653,4947,27600,22,47.75,UKM38,35338,46327,26365,899,February ,16095.20703,N
ANON12,M,116014,34804,150818,30,53.75,UKH15,170222,208903,132409,4154,February ,15890.23828,N
ANON13,M,39251,7849,47100,20,45.75,UKM28,61230,80271,45683,1558,February ,15234.23828,N
ANON14,M,30186,7814,38000,26,48.58,UKH15,47089,61733,35132,1198,February ,15890.23828,N
ANON15,M,91336,21064,112400,23,48,UKM26,142481,186789,106302,3625,February ,15572.55469,N
ANON16,M,953552,142648,1096200,15,47.42,UKH15,1487506,1950084,1109800,37848,February ,15890.23828,N
ANON17,M,48549,4855,53404,10,40.42,UKK15,80497,112725,57619,2016,February ,18604.89844,N
ANON18,M,74368,22032,96400,30,50.92,UKM35,109117,133912,84878,2663,February ,17252.75,Y
ANON19,M,41960,10440,52400,25,48.33,UKH15,65456,85811,48836,1665,February ,15890.23828,N
ANON20,F,24728,6972,31700,28,51.08,UKM38,36282,44527,28223,885,February ,16095.20703,N
ANON21,M,26921,8076,34997,30,53.92,UKM28,39500,48476,30725,964,February ,15234.23828,N
ANON22,F,67869,20361,88230,30,52.33,UKM38,99581,122210,77460,2430,February ,16095.20703,N
ANON23,M,36350,3635,39985,10,41.25,UKM36,60271,84400,43141,1510,February ,14616.55078,N
ANON24,M,39791,11309,51100,28,49,UKM36,62072,81376,46311,1579,February ,14616.55078,N
ANON25,F,15828,1583,17411,10,42.33,UKH15,26244,36751,18785,657,February ,15890.23828,N
ANON26,M,364662,109399,474061,30,58,UKJ21,503080,578025,408141,11764,February ,18035.97656,Y
ANON27,M,164521,49356,213877,30,53.08,UKM28,241394,296248,187771,5890,February ,15234.23828,N
ANON28,M,44617,11583,56200,26,49.67,UKM36,69601,91245,51928,1771,February ,14616.55078,N
ANON29,M,66015,19805,85820,30,54.67,UKH15,96861,118871,75344,2364,February ,15890.23828,N
ANON30,F,10179,3054,13233,30,53.75,UKM24,14935,18329,11618,364,February ,17445.37891,N
ANON31,M,42267,5433,47700,13,44.58,UKH15,70081,98139,50163,1755,February ,15890.23828,N
ANON32,F,12283,1228,13511,10,37,UKM38,21641,32369,14865,534,February ,16095.20703,N
ANON33,F,92935,18365,111300,20,49.17,UKM38,144975,190059,108163,3689,February ,16095.20703,N
ANON34,M,142809,42843,185652,30,59.5,UKM38,197016,226366,159836,4607,February ,16095.20703,Y
ANON35,M,18851,1885,20736,10,37.83,UKM38,33213,49677,22813,819,February ,16095.20703,N
ANON36,M,17567,1757,19324,10,39.58,UKH15,30951,46294,21259,764,February ,15890.23828,N
ANON37,F,34934,10480,45414,30,53.92,UKM38,51257,62905,39871,1251,February ,16095.20703,N
ANON38,F,85218,8522,93740,10,41.83,UKM23,141297,197866,101138,3539,February ,18452.5,N
ANON39,M,23869,2387,26256,10,44.25,UKM26,39576,55421,28328,991,February ,15572.55469,N
ANON40,M,22102,2210,24312,10,42.67,UKK43,36647,51318,26231,918,February ,17349.98828,N
ANON41,M,333851,100155,434006,30,52.67,UKM61,489843,601155,381031,11953,February ,16773.63281,N
ANON42,F,24329,2433,26762,10,41.67,UKM28,40339,56489,28874,1010,February ,15234.23828,N
ANON43,F,140098,42029,182127,30,54.92,UKH15,205559,252270,159897,5016,February ,15890.23828,Y
ANON44,M,109605,32882,142487,30,58.08,UKH15,151209,173735,122673,3536,February ,15890.23828,Y
ANON45,F,22874,2426,25300,11,44.67,UKM28,37927,53111,27147,950,February ,15234.23828,N
ANON46,M,18754,1875,20629,10,37.17,UKM25,33042,49422,22696,815,February ,19768.77734,N
ANON47,M,179070,53721,232791,30,59.08,UKJ36,247041,283844,200421,5777,February ,20162.10938,N
ANON48,M,154689,15469,170158,10,39.67,UKL17,272545,407645,187203,6724,February ,14491.00781,N
ANON49,M,31351,9049,40400,29,50.17,UKH15,46000,56453,35782,1122,February ,15890.23828,N
ANON50,F,26401,4099,30500,16,46.25,UKH15,41185,53992,30727,1048,February ,15890.23828,N
ANON51,M,112155,33647,145802,30,53.33,UKH15,164560,201954,128005,4015,February ,15890.23828,N
ANON52,F,12362,1236,13598,10,41.75,UKM36,20497,28703,14671,513,February ,14616.55078,N
ANON53,F,172484,51745,224229,30,57.75,UKM27,237955,273404,193049,5565,February ,18548.74219,N
ANON54,M,34316,3432,37748,10,38.75,UKM33,60461,90432,41529,1492,February ,14867.0625,N
ANON55,F,36007,9693,45700,27,50.42,UKM38,52831,64837,41096,1289,February ,16095.20703,N
ANON56,F,19057,1906,20963,10,41.83,UKH15,31598,44248,22617,791,February ,15890.23828,N
ANON57,F,83733,25120,108853,30,55.42,UKK13,115516,132725,93717,2701,February ,18606.27734,N
ANON58,M,19451,1945,21396,10,37.42,UKM38,34270,51258,23539,846,February ,16095.20703,N
ANON59,M,30576,3058,33634,10,42.83,UKM22,50697,70994,36288,1270,February ,15506.49609,N
ANON60,F,160012,32688,192700,20,48.75,UKM38,249613,327236,186231,6351,February ,16095.20703,N
ANON61,M,102380,18020,120400,18,58.08,UKH15,141241,162282,114587,3303,February ,15890.23828,Y
ANON62,M,316522,84078,400600,27,50.33,UKH15,464417,569952,361253,11332,February ,15890.23828,N
ANON63,F,16021,1602,17623,10,39.58,UKH15,28227,42219,19388,696,February ,15890.23828,N
ANON64,M,234864,70136,305000,30,52.17,UKM38,344605,422913,268055,8409,February ,16095.20703,N
ANON65,F,15979,3121,19100,20,47.58,UKH15,24927,32678,18597,634,February ,15890.23828,N
ANON66,M,36179,6621,42800,18,44.75,UKH15,59987,84003,42938,1502,February ,15890.23828,N
ANON67,F,46611,13983,60594,30,51.83,UKM38,68390,83931,53198,1669,February ,16095.20703,N
ANON68,,109555,32345,141900,30,51.33,UKH15,160745,197272,125037,3922,February ,15890.23828,N
ANON69,F,15743,2757,18500,18,47.08,UKH15,24558,32196,18323,625,February ,15890.23828,N
ANON70,M,17602,5281,22883,30,51.08,UKH15,25827,31695,20090,630,February ,15890.23828,N
ANON71,M,174623,39377,214000,23,48.08,UKH15,272405,357117,203237,6931,February ,15890.23828,Y
ANON72,M,129212,38764,167976,30,53.5,UKH15,189587,232668,147472,4626,February ,15890.23828,Y
ANON73,M,31273,3127,34400,10,41.5,UKH15,51853,72612,37115,1299,February ,15890.23828,N
ANON74,M,78403,23521,101924,30,57,UKM38,108163,124277,87751,2529,February ,16095.20703,Y
ANON75,F,71247,18553,89800,26,51.25,UKH15,104537,128292,81316,2551,February ,15890.23828,N
ANON76,M,19774,3926,23700,20,45.33,UKM28,30847,40439,23014,785,February ,15234.23828,N
ANON77,M,25570,7671,33241,30,54.92,UKM25,37518,46043,29184,915,February ,19768.77734,N
ANON78,F,85257,20043,105300,24,50.5,UKM26,125093,153520,97306,3052,February ,15572.55469,N
ANON79,M,18740,5622,24362,30,50.83,UKH15,27496,33745,21388,671,February ,15890.23828,N
ANON80,M,18987,5696,24683,30,54.92,UKK13,27859,34189,21670,680,February ,18606.27734,N
ANON81,M,123096,25504,148600,21,46.5,UKE12,192025,251740,143266,4886,February ,16833.32813,N
